5	30			
1615	1845	1781	1975	1753
225	50			
150     500     240
1	-42	63	0	33
2	20	42	0	84
3	15	98	0	74
4	1	-17	0	93
5	64	20	0	25
6	-96	85	0	39
7	93	-29	0	42
8	-40	-84	0	77
9	86	35	0	68
10	91	36	0	50
11	62	-8	0	42
12	-24	4	0	71
13	11	96	0	85
14	-53	62	0	78
15	-28	-71	0	64
16	7	-4	0	5
17	95	-9	0	93
18	-3	17	0	18
19	53	-90	0	38
20	58	-19	0	29
21	-83	84	0	81
22	-1	49	0	4
23	-4	17	0	23
24	-82	-3	0	11
25	-43	47	0	86
26	6	-6	0	2
27	70	99	0	31
28	68	-29	0	54
29	-94	-30	0	87
30	-94	-20	0	17
31	70	0	0	0
32	40	80	0	0
33	20	-30	0	0
34	-60	20	0	0
35	-60	-20	0	0
