5	40			
1615	1845	1781	1975	1753 
225	60			
50      250     140
1	42	41	0	19
2	31	32	0	29
3	5	25	0	23
4	12	42	0	21
5	36	16	0	10
6	52	41	0	15
7	27	23	0	3
8	17	33	0	41
9	13	13	0	9
10	57	58	0	28
11	62	42	0	8
12	42	57	0	8
13	16	57	0	16
14	8	52	0	10
15	7	38	0	28
16	27	68	0	7
17	30	48	0	15
18	43	67	0	14
19	58	48	0	6
20	58	27	0	19
21	37	69	0	11
22	38	46	0	12
23	46	10	0	23
24	61	33	0	26
25	62	63	0	17
26	63	69	0	6
27	32	22	0	9
28	45	35	0	15
29	59	15	0	14
30	5	6	0	7
31	10	17	0	27
32	21	10	0	13
33	5	64	0	11
34	30	15	0	16
35	39	10	0	10
36	32	39	0	5
37	25	32	0	25
38	25	55	0	17
39	48	28	0	18
40	56	37	0	10
41	20	20	0	0
42	30	40	0	0
43	50	30	0	0
44	55	55	0	0
45	15	40	0	0
